loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': True, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': True, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v4c', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)  dfmult  sat   buf  bscaf   rnll    sec
     1    0.1453   -0.193  0.000   0.107  0.284   0.000  0.013    98.4  100.0     0.960    1.6     66.7   1.000    0     0      0  0.000   2.16
    10    0.1014   -0.206  0.000   0.099  0.281   0.154  0.001    97.7  100.0     0.952    0.0     83.3   1.000    0     0      0  0.000   1.43
    20    0.0757   -0.225  0.000   0.093  0.271   0.228  0.001    95.3  100.0     0.975    0.0     75.0   1.000    0     0      0  0.000   1.42
    30    0.0261   -0.195  0.000   0.087  0.266   0.450  0.001    98.4  100.0     0.960    0.0     83.3   1.000    0     0      0  0.000   1.39
    40    0.0402   -0.232  0.000   0.085  0.255   0.282  0.001    93.8  100.0     0.925    0.0     83.3   1.000    0     0      0  0.000   1.31
    50   -0.0183   -0.188 -0.018   0.095  0.275   0.284  0.001    99.2  100.0     0.969    0.0     75.0   1.000    0     0      0  0.000   1.41
    60   -0.0037   -0.204 -0.018   0.076  0.249   0.685  0.001    96.9  100.0     0.960    0.0    100.0   1.000    0     0      0  0.000   1.25
    70   -0.0136   -0.183 -0.018   0.066  0.233   0.780  0.001    98.4  100.0     0.913    0.8    100.0   1.000    0     0      0  0.000   1.23
    80   -0.0081   -0.185 -0.018   0.065  0.227   1.504  0.001    97.7   99.2     0.823    0.0     91.7   1.000    0     1      1  0.000   1.36
    90   -0.0151   -0.168 -0.018   0.060  0.220   1.993  0.001    99.2   99.2     0.833    1.6    100.0   1.000    0     1      1  0.000   1.42
   100   -0.0316   -0.156 -0.030   0.044  0.184   3.247  0.001    98.4   98.4     0.677    2.3    100.0   1.000    0     2      2  0.000   1.29
   110   -0.0494   -0.115 -0.030   0.034  0.141   5.435  0.002    99.2   85.8     0.615   17.2    100.0   0.999    0     2      2  0.000   1.18
   120    0.3818   -0.093 -0.030   0.027  0.120   6.593  0.086   100.0   68.8     0.557   32.0    100.0   1.000    0     2      2  0.000   1.15
   130   -0.1168   -0.164 -0.030   0.066  0.230   1.125  0.017   100.0  100.0     0.844    0.0     91.7   1.000    0     2      2  0.000   1.43
   140   -0.0815   -0.174 -0.030   0.070  0.220   1.292  0.001    97.7  100.0     0.808    1.6    100.0   0.999    0     3      3  0.000   1.27
   150   -0.0633   -0.165 -0.042   0.053  0.210   2.109  0.001    99.2  100.0     0.787    0.8     83.3   0.999    0     4      4  0.000   1.36
   160   -0.0513   -0.144 -0.042   0.046  0.190   3.003  0.001   100.0  100.0     0.742    3.1    100.0   0.999    0     4      4  0.000   1.17
   170   -0.0469   -0.123 -0.042   0.032  0.147   4.344  0.001    99.2   92.1     0.496   10.2    100.0   0.999    0     4      4  0.000   1.13
   180    0.1284   -0.091 -0.042   0.022  0.112   5.692  0.038   100.0   79.7     0.500   22.7    100.0   0.999    0     4      4  0.000   1.09
   190   -0.1082   -0.165 -0.042   0.065  0.230   1.221  0.058   100.0  100.0     0.852    1.6     91.7   1.000    0     4      4  0.000   1.29
   200   -0.1173   -0.161 -0.052   0.064  0.225   1.328  0.001   100.0  100.0     0.789    0.0    100.0   0.998    0     4      4  0.365   1.34
      saved checkpoint @ step 200 | examples: ['O=C(O)CC1=C/C(=C\\c2ccccc2)c2ccccc21', 'O=C(O)c1ccccc1Oc1ccccc1', 'N[C@@H](Cc1c[nH]cn1)C(=O)CCS', 'O=c1[nH]c(CSC2CCOCC2)nc2cc(NCc3ccccc3)ccc12', 'N#CCN(CC#N)Cc1ccccc1']
   210   -0.0670   -0.165 -0.052   0.056  0.213   2.219  0.001    99.2  100.0     0.819    3.1    100.0   0.999    0     4      4  0.232   1.26
   220   -0.0452   -0.150 -0.052   0.044  0.186   2.862  0.001    99.2  100.0     0.646    3.9    100.0   0.999    0     4      4  0.201   1.19
   230   -0.0399   -0.129 -0.052   0.033  0.154   4.038  0.001    99.2   98.4     0.592   12.5    100.0   0.998    0     5      5  0.154   1.30
   240    0.0038   -0.123 -0.052   0.031  0.147   4.804  0.008    99.2   94.5     0.517   14.8     91.7   0.997    0     5      5  0.133   1.23
   250    0.1109   -0.133 -0.055   0.042  0.175   2.943  0.086   100.0   96.1     0.707   14.8     83.3   0.991    1     5      5  0.146   1.32
   260   -0.0863   -0.157 -0.055   0.079  0.229   1.532  0.011    99.2  100.0     0.843    1.6     83.3   0.998    1     7      5  0.199   1.33
   270   -0.0703   -0.144 -0.055   0.056  0.200   2.164  0.001   100.0  100.0     0.711    3.1    100.0   0.993    1     9      5  0.181   1.21
   280   -0.0611   -0.095 -0.055   0.094  0.189   2.782  0.001   100.0   96.1     0.683    9.4    100.0   0.955    2    11      5  0.142   1.28
   290   -0.0465   -0.028 -0.055   0.135  0.156   4.438  0.001    99.2   90.6     0.522   19.5    100.0   0.891    2    14      5  0.151   1.18
   300    0.0869    0.036 -0.058   0.199  0.155   5.620  0.026    99.2   85.8     0.486   26.6    100.0   0.810    2    16      6  0.166   1.19
   310    0.1267   -0.151 -0.058   0.066  0.209   2.451  0.130    99.2  100.0     0.835    2.3     91.7   0.981    2    29     10  0.272   1.22
   320   -0.0925   -0.183 -0.058   0.067  0.234   1.190  0.002    98.4  100.0     0.897    0.0     83.3   0.989    2    31     11  0.221   1.29
   330   -0.0754   -0.133 -0.058   0.095  0.227   2.083  0.001   100.0  100.0     0.789    6.2     91.7   0.965    2    34     14  0.210   1.31
   340   -0.0405   -0.141 -0.058   0.061  0.194   2.890  0.001    99.2   99.2     0.770    7.8     91.7   0.976    2    44     18  0.222   1.32
   350   -0.0545   -0.043 -0.064   0.173  0.208   5.503  0.003    99.2   93.7     0.605   25.0    100.0   0.896    4    63     20  0.247   1.30
   360    0.7112   -0.051 -0.064   0.144  0.179   5.396  0.195    98.4   95.2     0.575   32.8     83.3   0.889    9    88     26  0.257   1.25
   370   -0.1708   -0.160 -0.064   0.059  0.219   1.817  0.026   100.0  100.0     0.789    3.1     91.7   0.993    9    89     26  0.465   1.41
   380   -0.1335   -0.162 -0.064   0.056  0.210   2.129  0.001    99.2  100.0     0.803    7.8     83.3   0.997    9    91     27  0.364   1.41
   390   -0.0836   -0.145 -0.064   0.048  0.193   2.386  0.001   100.0  100.0     0.703    6.2    100.0   0.982    9    93     29  0.324   1.28
   400   -0.0543   -0.146 -0.071   0.041  0.179   2.843  0.001    99.2   98.4     0.712    8.6    100.0   0.987    9    94     29  0.249   1.18
      saved checkpoint @ step 400 | examples: ['O=c1cc(-c2ccc(O)cc2)oc2ccccc12', 'O=C(CNCc1ccc(Cl)cc1)NCc1ccco1', 'CCCCNc1nc(N)nc2ccccc12', 'N#Cc1ccc(NC(c2ccc(Cl)cc2)c2cccnc2)cc1', 'O=C(Cc1ccccc1Cl)c1ccco1']
   410   -0.0402   -0.121 -0.071   0.057  0.177   3.956  0.001   100.0   99.2     0.638   13.3    100.0   0.961    9    96     29  0.237   1.25
   420   -0.0156   -0.079 -0.071   0.081  0.159   4.839  0.008   100.0   97.7     0.584   25.8    100.0   0.928    9   100     31  0.240   1.22
