loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': False, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': True, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'transfer_learning': True, 'tl_every': 500, 'tl_start': 1000, 'tl_epochs': 2, 'tl_batch': 128, 'tl_max_mols': 500, 'tl_min_mols': 50, 'tl_lr': 1e-05, 'tl_max_kl': 8.0, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v5c', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)   buf  bscaf   rnll    sec
     1    0.1453   -0.193  0.000   0.107  0.284   0.000  0.013    98.4  100.0     0.960    1.6     66.7     0      0  0.000   1.58
    10    0.1014   -0.206  0.000   0.099  0.281   0.154  0.001    97.7  100.0     0.952    0.0     83.3     0      0  0.000   1.12
    20    0.0757   -0.225  0.000   0.093  0.271   0.228  0.001    95.3  100.0     0.975    0.0     75.0     0      0  0.000   0.90
    30    0.0261   -0.195  0.000   0.087  0.266   0.450  0.001    98.4  100.0     0.960    0.0     83.3     0      0  0.000   0.86
    40    0.0402   -0.232  0.000   0.085  0.255   0.282  0.001    93.8  100.0     0.925    0.0     83.3     0      0  0.000   0.88
    50   -0.0183   -0.188 -0.018   0.095  0.275   0.284  0.001    99.2  100.0     0.969    0.0     75.0     0      0  0.000   0.84
    60   -0.0037   -0.204 -0.018   0.076  0.249   0.685  0.001    96.9  100.0     0.960    0.0    100.0     0      0  0.000   0.84
    70   -0.0136   -0.183 -0.018   0.066  0.233   0.780  0.001    98.4  100.0     0.913    0.8    100.0     0      0  0.000   0.86
    80   -0.0082   -0.185 -0.018   0.064  0.226   1.508  0.001    97.7   99.2     0.823    0.0     91.7     1      1  0.000   1.17
    90   -0.0152   -0.168 -0.018   0.060  0.220   1.993  0.001    99.2   99.2     0.833    1.6    100.0     1      1  0.000   1.03
   100   -0.0408   -0.143 -0.030   0.042  0.185   3.296  0.001   100.0   99.2     0.709    0.8    100.0     2      2  0.000   1.01
   110   -0.0288   -0.140 -0.030   0.038  0.171   4.499  0.001    99.2   93.7     0.655    5.5    100.0     2      2  0.000   0.93
   120    0.1505   -0.096 -0.030   0.028  0.124   6.373  0.038   100.0   68.8     0.659   31.2    100.0     2      2  0.000   0.88
   130   -0.0745   -0.161 -0.030   0.062  0.223   1.415  0.038   100.0   99.2     0.850    1.6     83.3     2      2  0.000   1.01
   140   -0.0754   -0.177 -0.030   0.064  0.225   1.124  0.001    98.4  100.0     0.897    0.0    100.0     2      2  0.000   1.07
   150   -0.0682   -0.158 -0.043   0.058  0.216   1.714  0.001   100.0  100.0     0.797    0.0     83.3     2      2  0.000   1.01
   160   -0.0469   -0.147 -0.043   0.045  0.192   2.432  0.001   100.0  100.0     0.727    1.6     91.7     2      2  0.000   1.01
   170   -0.0435   -0.129 -0.043   0.036  0.165   3.858  0.001   100.0   95.3     0.549    6.2    100.0     2      2  0.000   0.95
   180    0.0286   -0.097 -0.043   0.023  0.120   5.597  0.017   100.0   84.4     0.454   19.5     91.7     2      2  0.000   0.93
   190    0.0064   -0.158 -0.043   0.052  0.210   1.703  0.086   100.0  100.0     0.828    0.0    100.0     2      2  0.000   1.01
   200   -0.0690   -0.179 -0.051   0.063  0.227   1.178  0.001    98.4  100.0     0.857    0.0     75.0     2      2  0.324   1.10
      saved checkpoint @ step 200 | examples: ['O=c1[nH]ccc2ccc(OCC3CCCCC3)cc12', 'Cc1ccc(NCc2nnc(SCC(=O)Nc3ccccc3C(F)(F)F)n2C)cc1', 'N#Cc1cccc(Nc2ccccc2Oc2ccccc2)c1', 'N#CCC1(n2cc(-c3ccncc3)nn2)CN(C(=O)c2ccc(F)cc2)C1', 'Clc1ccc(CNCCCN2CCCC2)cc1']
   210   -0.0515   -0.159 -0.051   0.050  0.201   1.934  0.001    99.2  100.0     0.654    2.3    100.0     2      2  0.247   1.03
   220   -0.0396   -0.142 -0.051   0.044  0.186   2.642  0.001   100.0   99.2     0.724    6.2    100.0     2      2  0.209   1.20
   230   -0.0337   -0.124 -0.051   0.040  0.164   3.882  0.001   100.0   93.8     0.608   11.7     83.3     2      2  0.189   0.90
